"","X","Y","Tree_loss","Pop_densit","Dist_sett","Slope","Elevation","Annual_Rai","Dist_track","Dist_road","Dist_river","Dist_edge","Dist_defor","treated"
"137",896355,7962015,0,0.132762163877,4261.68994141,23.5595703125,762,1901,1301.46069336,15360.46875,1680,1047,1166.91906738,1
"138",896505,7962015,0,0.128967449069,4268.54785156,13.5976524353,801,1901,1435.61828613,15342.4414063,1830,1146,1203.37023926,1
"139",896655,7962015,0,0.122957453132,4280.65429688,11.8185062408,824,1901,1571.7824707,15325.8603516,1980,1172,1223.76464844,1
"140",896805,7962015,0,0.121758788824,4297.96484375,5.00628232956,841,1901,1710.26318359,15310.7314453,2130,1215,1261.78442383,1
"141",896955,7962015,0,0.122096858919,4264.32861328,14.9070158005,844,1901,1845.6706543,15297.0585938,2280,1275,1315.90270996,1
"142",897105,7962015,0,0.11764524132,4161.25,9.42157936096,883,1844,1951.61474609,15284.8457031,2430,1290,1366.23571777,1
"143",897255,7962015,0,0.113312385976,4061.09594727,7.12501621246,896,1844,2057.79003906,15265.2548828,2580,1226,1225.60192871,1
"144",897405,7962015,0,0.110389739275,3964.08886719,10.6017017365,915,1844,2167.48706055,15229.9873047,2730,1087,1087.47412109,1
"145",897555,7962015,0,0.109461978078,3870.46508789,12.4422101974,939,1844,2281.77563477,15196.1181641,2880,953,952.942810059,1
"146",897705,7962015,0,0.108696892858,3780.47607422,24.4050712585,974,1844,2400,15163.6572266,3030,824,823.771789551,1
"147",897855,7962015,0,0.108408674598,3694.38769531,18.3838291168,988,1844,2521.60668945,15132.6142578,3180,703,702.922485352,1
"148",898005,7962015,0,0.108033835888,3612.47827148,22.2785015106,923,1844,2646.12915039,15102.9960938,3330,595,595.482971191,1
"149",898155,7962015,0,0.108016736805,3535.03881836,28.2573127747,868,1883,2773.17504883,15074.8134766,3480,510,510,1
"150",898305,7962015,0,0.111694477499,3462.36914063,11.2764015198,813,1883,2902.4128418,15048.0732422,3630,446,445.982055664,1
"151",898455,7962015,0,0.112609103322,3394.77539063,18.8609809875,820,1883,2935.86450195,15022.7822266,3780,420,420,1
"152",898605,7962015,0,0.119138352573,3332.56665039,16.1180076599,826,1883,2880.15625,14998.9501953,3930,437,436.80657959,1
"153",898755,7962015,0,0.125054821372,3276.04956055,12.0215044022,871,1883,2827.33081055,14976.5820313,4080,499,499.299499512,1
"154",898905,7962015,0,0.132546544075,3225.52319336,12.3688821793,880,1883,2779.65820313,14955.6845703,4085.40087891,594,593.969726563,1
"155",899055,7962015,0,0.136437699199,3181.2734375,15.7703552246,877,1896,2736.42089844,14936.2646484,3961.81787109,633,708.02545166,1
"156",899205,7962015,0,0.139280632138,3143.56494141,16.1180076599,845,1896,2684.11987305,14918.328125,3840.1171875,607,833.546630859,1
"157",899355,7962015,0,0.13624355197,3112.63549805,19.1807689667,851,1896,2623.9284668,14901.8789063,3720.48388672,573,966.074523926,1
"158",899505,7962015,0,0.139151617885,3088.68896484,17.30900383,841,1896,2564.78076172,14886.9238281,3603.12353516,573,1100.22729492,1
"159",899655,7962015,0,0.143912822008,3071.88867188,9.42741107941,803,1896,2507.10986328,14873.4658203,3488.26611328,607,1019.11724854,1
"160",899805,7962015,0,0.142062440515,3062.35205078,17.5283699036,821,1896,2457.25463867,14861.5107422,3376.16650391,595,914.385009766,1
"161",899955,7962015,0,0.139324173331,3060.14697266,14.5818109512,858,1896,2415.69873047,14851.0605469,3267.10888672,510,823.771789551,1
"162",900105,7962015,0,0.137972652912,3065.28955078,18.2457008362,863,1894,2382.87646484,14842.1191406,3161.40795898,457,745.184570313,1
"163",900255,7962015,0,0.0908824428916,3077.74267578,18.779920578,828,1894,2359.15234375,14834.6894531,3059.41162109,421,658.63494873,1
"164",900405,7962015,0,0.0888012945652,3097.41821289,8.16580963135,823,1894,2344.80273438,14828.7724609,2961.50292969,424,597.745788574,1
"165",900555,7962015,0,0.0862197726965,3124.17993164,9.42741107941,820,1867,2340,14824.3720703,2868.1003418,470,570.78894043,1
"166",900705,7962015,0,0.0830378383398,3157.84741211,14.9209651947,833,1867,2340,14821.4873047,2779.65820313,553,577.061523438,1
"167",900855,7962015,0,0.0804906338453,3136.39916992,13.0691518784,853,1867,2340,14820.1210938,2696.66455078,618,618.465820313,1
"168",901005,7962015,0,0.0758176594973,3101.0480957,15.1318073273,888,1867,2340,14820.0302734,2619.63745117,691,690.651855469,1
"169",901155,7962015,0,0.0740937441587,3072.62109375,11.694817543,919,1867,2340,14821.0927734,2549.11743164,785,785.175109863,1
"170",901305,7962015,0,0.074193648994,3051.3112793,14.8895568848,947,1867,2341.73022461,14823.6738281,2485.65893555,895,894.986022949,1
"171",901455,7962015,0,0.0759168192744,3037.26855469,8.39999389648,965,1867,2352.27539063,14827.7714844,2429.81469727,1015,1015.13543701,1
"172",901605,7962015,0,0.0805472508073,3030.59399414,20.5164585114,948,1859,2372.27734375,14833.3847656,2382.12084961,990,1142.3659668,1
"173",901755,7962015,0,0.0842327997088,3031.33642578,15.3189554214,930,1859,2401.49951172,14840.5117188,2343.07495117,964,1274.55871582,1
"174",901905,7962015,0,0.0869066640735,3039.48999023,20.8097190857,941,1859,2439.6105957,14849.1513672,2313.11474609,960,1209.33862305,1
"175",902055,7962015,0,0.0870946347713,3054.99584961,19.8879413605,920,1859,2486.2019043,14859.2998047,2292.59667969,972,1110.40527344,1
"176",902205,7962015,0,0.0913924276829,3005.09570313,21.8698596954,888,1859,2540.80688477,14870.9550781,2281.77563477,983,1023.96289063,1
"177",902355,7962015,0,0.091244481504,2860.08740234,6.91817474365,848,1859,2602.92138672,14884.1123047,2280.78930664,914,953.414916992,1
"178",902505,7962015,0,0.0918359011412,2715.62158203,14.4811239243,896,1888,2670.16845703,14898.7685547,2289.65063477,866,902.496520996,1
"179",902655,7962015,0,0.0925134569407,2571.78930664,10.16040802,923,1888,2742.4987793,14914.9189453,2308.24609375,780,829.758972168,1
"180",902805,7962015,0,0.0928138121963,2428.70336914,17.1097354889,917,1888,2820.63818359,14932.5585938,2336.34326172,644,740.9453125,1
