"","coef","se","unmatched","mean_std_diff","max_std_diff","parralel_trend","Pop_density","Dist_sett","Annual_Rain","Dist_track","Dist_river","cal025","cal05","cal1","replacement","maha","glm","rf","ratio1","ratio5","ratio10"
"58",-3.16449061088859,0.498797270710413,0,0.023180756788808,0.0599728599341164,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"59",-3.12893120270191,0.497272294571941,0,0.0330127270842217,0.0589572153022155,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"60",-3.34699152407909,0.510198907622253,0,0.0679653325530952,0.130504970091499,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"61",-3.500917773878,0.540730463011107,0,0.200686415008278,0.785799436162401,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"62",-3.16736041540568,0.509657782479752,0,0.0432339623421954,0.0822583419445744,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"63",-3.25628070779716,0.543274743330381,0,0.056578094545237,0.140906074656757,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"64",-3.28192468198324,0.544535317994791,0,0.154443406215126,0.500027060700206,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"65",-3.05948389072317,0.478139797734444,0,0.0823902087514861,0.194554467773754,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"66",-3.14364970515931,0.504375601005712,0,0.0632193227545589,0.133591467332736,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"67",-3.34297912094217,0.531116041027752,0,0.139492033840117,0.420029089107711,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"68",-3.43458922329178,0.545310681913087,0,0.181577053518431,0.654813807701041,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"69",-3.07245479523377,0.490505891568362,0,0.0365868609333947,0.0680342338495211,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"70",-3.40960636505601,0.542959906714178,0,0.230692986536505,0.82407643125002,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"71",-3.31202809311252,0.551410285004527,0,0.0873464648407943,0.225194073471445,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"72",-3.19718895687104,0.564964130530434,0,0.0801884040354096,0.136701795326374,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"73",-3.36908738918872,0.498666787925169,0,0.161902185346066,0.64904967038164,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"74",-3.39432791311857,0.536576743694751,0,0.203223499366344,0.843967864002461,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"75",-3.20252118780286,0.549483662491908,0,0.0403359922985477,0.107749793602908,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"76",-3.23588594319425,0.512875850544898,0,0.101324986982045,0.223843162461431,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"77",-3.22509739447771,0.517507007466918,0,0.189608286973169,0.680932293493742,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"78",-3.070370555998,0.501628416675819,0,0.0945740774953173,0.205040292395846,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"79",-3.31598073559265,0.550701509876037,0,0.159541198310447,0.556731447856819,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"80",-3.1451161515958,0.519572455875816,0,0.168773865713839,0.447053885799694,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"81",-3.23697212195097,0.514244287079918,0,0.246431541292523,0.90285018596626,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"82",-3.27493039030766,0.577515270065495,0,0.093552946360092,0.186791892698,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"83",-3.49995945385605,0.55139810295998,0,0.161464815071657,0.649621343410413,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"84",-3.20230396138965,0.53629259290331,0,0.135037813438505,0.310446341113895,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"85",-3.178036381361,0.547028012362426,3,0.191523367950901,0.527127543021083,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
